longitude,latitude,code,name,phone,state,city,milesNyc,minNyc,hrNyc,timeNyc,URL,shower,showerIcon,pets,petsIcon,filters,filtersShowers,filtersPets
-72.342,41.484,DEVI,Devils Hopyard State Park,860.526.2336,CT,East Haddam,118.28,162,3 hours,2 hr 42 min,https://www.reserveamerica.com/explore/devils-hopyard/CT/100104/campsites,no,"<i class=""fa-solid fa-shower"" style=""color: #c6533f;""></i>",no,"<i class=""fa-solid fa-dog"" style=""color: #c6533f;""></i>",,,
-72.243,41.31,ROCK,Rocky Neck State Park,860.739.5471,CT,Niantic,117.96,162,3 hours,2 hr 42 min,https://www.reserveamerica.com/explore/rocky-neck-state-park/CT/100107/overview,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",no,"<i class=""fa-solid fa-dog"" style=""color: #c6533f;""></i>",Showers,Showers,
-74.208,42.151,DEVI,Devils Tombstone Campground,845.688.7160,NY,Lanesville,124.02,169,3 hours,2 hr 49 min,https://newyorkstateparks.reserveamerica.com/camping/devils-tombstone-campground/r/campgroundDetails.do?contractCode=NY&parkId=27,no,"<i class=""fa-solid fa-shower"" style=""color: #c6533f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>",Pets,,Pets
-75.069,42.118,BEAR,Bear Spring Mountain Campground,607.865.6989,NY,Walton,143.85,173,3 hours,2 hr 53 min,https://newyorkstateparks.reserveamerica.com/camping/bear-spring-mountain/r/campgroundDetails.do?contractCode=NY&parkId=13,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets",Showers,Pets
-74.735,42.036,LITP,Little Pond Campground,845.439.5480,NY,Margaretville,126.89,173,3 hours,2 hr 53 min,https://newyorkstateparks.reserveamerica.com/camping/little%20pond%20campground/r/campgroundDetails.do?contractCode=NY&parkId=495,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets",Showers,Pets
-76.12,40.785,LOCU,Locust Lake State Park,570.487.2404,PA,Barnesville,133.47,175,3 hours,2 hr 55 min,https://pennsylvaniastateparks.reserveamerica.com/camping/locust-lake-state-park/r/campgroundDetails.do?contractCode=PA&parkId=880428,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets",Showers,Pets
-76.048,41.255,MOON,Pinchot State Forest,570.477.5467,PA,Hunlock Creek,139.98,175,3 hours,2 hr 55 min,https://pennsylvaniastateparks.reserveamerica.com/camping/pinchot-state-forest/r/campgroundDetails.do?contractCode=PA&parkId=880252,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets",Showers,Pets
-76.279,39.85,MUDD,Muddy Run Park ,717.284.4325,PA,Holtwood,159.13,175,3 hours,2 hr 55 min,https://muddyruncampground.com/,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets",Showers,Pets
-75.895,41.347,FRAN,Frances Slocum State Park,570.858.2525,PA,Wyoming,133.51,178,3 hours,2 hr 58 min,https://pennsylvaniastateparks.reserveamerica.com/camping/frances-slocum-state-park/r/campgroundDetails.do?contractCode=PA&parkId=880401,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets",Showers,Pets
-75.068,40.506,TINI,Tinicum County Park,215.757.0571,PA,Erwinna,145.07,180,3 hours,3 hr,https://secure.rec1.com/PA/bucks-county-pa-parks-recreation/catalog,no,"<i class=""fa-solid fa-shower"" style=""color: #c6533f;""></i>",no,"<i class=""fa-solid fa-dog"" style=""color: #c6533f;""></i>",,,
-71.926,41.602,HOPE,Hopeville Pond State Park,860.376.2920,CT,Griswold,144.69,180,3 hours,3 hr,https://www.reserveamerica.com/explore/hopeville-pond-state-park/CT/100100/overview,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",no,"<i class=""fa-solid fa-dog"" style=""color: #c6533f;""></i>",Showers,Showers,
-72.093,41.651,SALT,Salt Rock State Park,860.822.0884,CT,Baltic,143.1,180,3 hours,3 hr,https://www.reserveamerica.com/explore/salt-rock-campground/CT/100128/overview,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets",Showers,Pets
